"module_id","module_name","submodule","design_requirement","current_status","current_chain","evidence_type","evidence_path","evidence_summary","legacy_artifact_available","entity_complete_v1_artifact_available","test_available","report_available","implemented_scope","missing_scope","semantic_risk","recommended_action","priority"
"M0","数据与接口总契约","entity grain","manufacturer_code x hospital_code x drug_group, current source=drug_code","implemented_current","entity_complete_v1","report","algo_main/reports/entity_complete_v1/01_cleaning_audit/cleaning_summary.md","51,536 entities; drug_category_code retained as category not product-line","false","true","true","true","entity grain and drug_group_source are present","product_line_code upgrade not available","low","keep","P0"
"M0","数据与接口总契约","H3/H6/H12 labels","retain three horizons and closed labels","implemented_current","entity_complete_v1","data_artifact","algo_main/data/entity_complete_v1/05_features/alive_labels_H3_H6_H12.parquet","1,183,902 label rows with H3/H6/H12 columns","true","true","true","true","horizon labels and model long scores exist","none for current scorer","low","keep","P0"
"M0","数据与接口总契约","probability semantics","separate probability from business priority, detector severity, one-shot attention","implemented_current","both","report","algo_main/reports/entity_complete_v1/03_model_selection/model_selection_decision.md","ranking/probability evaluated separately; value/business priority excluded from probability features","true","true","true","true","semantic guardrails documented and tested","downstream UI copy still needed","medium","keep","P0"
"M0","数据与接口总契约","three object tables","recurring_business_priority, one_shot_attention, demand_shape_observation must stay separate","partially_implemented","both","code","algo_main/src/alg/tasks/die_prediction/entity_complete_rebuild.py","current m1_candidates is a unified policy table; legacy had separate side tables","true","partial","true","true","current keeps one_shot_flag and demand_shape_label context","current chain lacks formal three-table outputs and display de-dup","medium","implement_next","P0"
"M1","候选池生成与业务排序","current candidate policy","generate candidate pool by horizon/cutoff","partially_implemented","entity_complete_v1","data_artifact","algo_main/data/entity_complete_v1/07_candidates/m1_candidates.csv","709,830 rows across probability/interval/frequency/recency/hybrid top10 policies","true","true","true","true","top10 policy candidates and metrics produced","not design Top5% + manufacturer min-fill; no entity-level primary_horizon","medium","implement_next","P0"
"M1","候选池生成与业务排序","candidate recall/lift","measure candidate_count, candidate_die_recall, lift, manual load","implemented_current","entity_complete_v1","report","algo_main/reports/entity_complete_v1/04_m_stage_pipeline/m1_candidate_policy_metrics.csv","probability_top10 avg recall 0.2074; mean M1 recall 0.1862 in summary","true","true","true","true","recall/lift diagnostics exist","manual worklist policy not accepted by business yet","high","clarify_with_business","P0"
"M1","候选池生成与业务排序","business_priority_score_H","business priority is post-processing not probability","partially_implemented","both","code","algo_main/src/alg/tasks/die_prediction/entity_complete_algorithm_consolidation.py","candidate policy v2 code defines business_priority_score but final v2 report not completed in current 07 outputs","true","partial","true","partial","semantic separation implemented in feature exclusion","current m1 artifact lacks value_at_risk_H/business_priority_score_H columns","medium","implement_next","P0"
"M1","候选池生成与业务排序","one-shot and demand-shape side tables","separate one_shot_attention_candidates and demand_shape_observation_candidates","implemented_legacy_only","legacy_alive_prediction","report","algo_main/reports/alive_prediction_m1_m2_corrections_v1/m1_m2_correction_summary.md","legacy has side-table semantic checks and 200-row display-ready demand-shape view","true","false","true","true","legacy side tables validated","entity_complete_v1 has only one_shot features and demand_shape labels","medium","rerun_on_entity_complete","P0"
"M2","One-shot high value","one-shot feature base","build first-purchase feature universe","partially_implemented","entity_complete_v1","data_artifact","algo_main/data/entity_complete_v1/05_features/one_shot_first_purchase_features.parquet","200,640 rows exist","true","true","true","true","first-purchase feature frame exists","no current independent repeat model output","high","implement_next","P1"
"M2","One-shot high value","repeat propensity model","repeat_probability_H and one_shot_non_repeat_risk_H","implemented_legacy_only","legacy_alive_prediction","report","algo_main/reports/alive_prediction_one_shot_repeat_v1/one_shot_repeat_v1_summary.md","legacy trained H3/H6/H12 repeat models; 1,692 output rows","true","false","true","true","legacy repeat model and three attention scores","must rebuild on entity_complete_v1","high","rerun_on_entity_complete","P1"
"M2","One-shot high value","recurring scorer reuse","do not reuse recurring churn as one-shot probability","rejected_or_abandoned","entity_complete_v1","report","algo_main/reports/entity_complete_v1/04_m_stage_pipeline/m2_one_shot_metrics.csv","current one-shot diagnostic AUC around 0.30 with negative PR-AUC gain; not usable as repeat probability","true","true","true","true","failure signal documented","independent one-shot model not rebuilt","high","abandon","P0"
"M3","Survival/interval 精查","current interval evidence","survival-lite / interval-aware evidence for recurring candidates","partially_implemented","entity_complete_v1","report","algo_main/reports/entity_complete_v1/04_m_stage_pipeline/m3_survival_lite_metrics.csv","state distribution exists: interval_unavailable, not_overdue, near_due, overdue","true","true","true","true","interval evidence shows die-rate separation","no row-level survival_refinement_results, expected_interval_months, survival_confidence","medium","implement_next","P1"
"M3","Survival/interval 精查","legacy survival_refinement_results","expected interval, overdue_ratio, survival_state, confidence","implemented_legacy_only","legacy_alive_prediction","report","algo_main/reports/alive_prediction_survival_lite_v1/survival_lite_v1_summary.md","legacy processed 1,354 recurring candidates and excluded one-shot","true","false","true","true","fuller survival-lite prototype exists","rerun missing on entity_complete_v1","medium","rerun_on_entity_complete","P1"
"M3","Survival/interval 精查","formal survival models","BG-NBD, Pareto-NBD, Cox/AFT/discrete-time survival","rejected_or_abandoned","none","design_doc","daily_work/notes/new_ver/主干算法_二阶段/M3 Survival ， interval-aware 精查模块.md","M3-v1 explicitly uses survival-lite and deletes/defer complex survival","false","false","true","true","not in v1","formal survival not implemented","low","defer","P3"
"M4","Detector catalog","terminal_loss_warning","terminal loss evidence from survival/interval","implemented_legacy_only","legacy_alive_prediction","report","algo_main/reports/alive_prediction_detectors_v1/detector_v1_summary.md","legacy hit count 183; current only has interval_overdue_detector_hit aggregate","true","partial","true","true","legacy detector row output","current row-level detector missing","medium","rerun_on_entity_complete","P1"
"M4","Detector catalog","new_terminal_detection","new terminal / one-shot fact detector","implemented_legacy_only","legacy_alive_prediction","report","algo_main/reports/alive_prediction_detectors_v1/detector_v1_summary.md","legacy hit count 564","true","false","true","true","legacy one-shot fact detector","current chain lacks detector evidence rows","medium","rerun_on_entity_complete","P2"
